  0.70s ~   0.90s (0.20s)  F1
 22.91s ~  23.04s (0.13s)  C2
 23.09s ~  23.19s (0.10s)  C2
 23.23s ~  23.44s (0.21s)  F2
 23.54s ~  23.72s (0.18s)  D2
 23.84s ~  24.33s (0.49s)  G1
 24.36s ~  24.46s (0.10s)  G1
 24.50s ~  24.68s (0.18s)  A#1
 24.71s ~  24.80s (0.09s)  C2
 24.88s ~  24.95s (0.07s)  C#2
 25.17s ~  25.34s (0.17s)  C2
 25.51s ~  25.65s (0.14s)  D3
 25.68s ~  25.79s (0.11s)  G2
 25.81s ~  25.98s (0.17s)  C3
 26.10s ~  26.28s (0.18s)  F2
 26.32s ~  26.61s (0.29s)  C3
 26.65s ~  26.76s (0.11s)  C3
 26.78s ~  27.01s (0.23s)  D#3
 27.09s ~  27.28s (0.19s)  D3
 27.41s ~  27.57s (0.16s)  A#2
 27.63s ~  27.76s (0.13s)  C3
 27.92s ~  28.02s (0.10s)  C3
 28.05s ~  28.31s (0.26s)  F3
 28.40s ~  28.64s (0.24s)  D#3
 28.72s ~  28.93s (0.21s)  D3
 29.05s ~  29.58s (0.53s)  G1
 29.75s ~  29.91s (0.16s)  A#1
 30.02s ~  30.11s (0.09s)  C#2
 30.37s ~  30.48s (0.11s)  C2
 30.72s ~  30.86s (0.14s)  D3
 31.00s ~  31.17s (0.17s)  C3
 31.20s ~  31.27s (0.07s)  G2
 31.29s ~  31.51s (0.22s)  F2
 31.55s ~  31.83s (0.28s)  C3
 31.85s ~  31.96s (0.11s)  C3
 31.99s ~  32.16s (0.17s)  A#2
 32.18s ~  32.28s (0.10s)  A#2
 32.30s ~  32.47s (0.17s)  A2
 32.51s ~  32.61s (0.10s)  A2
 32.64s ~  32.81s (0.17s)  G2
 32.84s ~  32.93s (0.09s)  G2
 32.97s ~  33.13s (0.16s)  F2
 33.15s ~  33.26s (0.11s)  F2
 33.29s ~  33.58s (0.29s)  C2
 33.62s ~  33.88s (0.26s)  F2
 33.94s ~  34.15s (0.21s)  D2
 34.25s ~  34.78s (0.53s)  G1
 34.82s ~  34.90s (0.08s)  G1
 34.94s ~  35.10s (0.16s)  A#1
 35.13s ~  35.22s (0.09s)  C2
 35.27s ~  35.39s (0.12s)  D2
 35.59s ~  35.76s (0.17s)  C2
 35.92s ~  36.11s (0.19s)  D3
 36.24s ~  36.42s (0.18s)  C3
 36.45s ~  36.55s (0.10s)  D3
 36.61s ~  36.75s (0.14s)  F3
 36.80s ~  36.89s (0.09s)  F3
 36.91s ~  37.04s (0.13s)  A#3
 37.12s ~  37.18s (0.06s)  A#3
 37.20s ~  37.29s (0.09s)  G3
 37.42s ~  37.49s (0.07s)  D3
 37.56s ~  37.84s (0.28s)  A#3
 37.98s ~  38.07s (0.09s)  F3
 38.11s ~  38.18s (0.07s)  D3
 38.22s ~  38.43s (0.21s)  C3
 38.46s ~  38.59s (0.13s)  G2
 39.06s ~  39.18s (0.12s)  A2
 39.20s ~  39.28s (0.08s)  F2
 39.53s ~  39.99s (0.46s)  G1
 40.04s ~  40.21s (0.17s)  G1
 40.37s ~  40.47s (0.10s)  D2
 40.50s ~  40.66s (0.16s)  F2
 40.86s ~  41.07s (0.21s)  A#1
 41.12s ~  41.21s (0.09s)  C2
 41.36s ~  41.51s (0.15s)  C2
 41.67s ~  41.77s (0.10s)  D2
 41.80s ~  41.96s (0.16s)  F2
 42.03s ~  42.10s (0.07s)  G2
 42.11s ~  42.34s (0.23s)  A#2
 42.35s ~  42.50s (0.15s)  C3
 42.63s ~  42.78s (0.15s)  C3
 42.95s ~  43.04s (0.09s)  G2
 43.06s ~  43.23s (0.17s)  A#2
 43.26s ~  43.37s (0.11s)  C3
 43.39s ~  43.61s (0.22s)  D3
 43.70s ~  43.90s (0.20s)  F3
 44.04s ~  44.22s (0.18s)  D3
 44.37s ~  44.60s (0.23s)  A#2
 44.72s ~  45.18s (0.46s)  G1
 45.23s ~  45.35s (0.12s)  G1
 45.39s ~  45.48s (0.09s)  E1
 45.69s ~  45.86s (0.17s)  F2
 46.02s ~  46.24s (0.22s)  A#1
 46.28s ~  46.40s (0.12s)  B1
 46.56s ~  46.70s (0.14s)  C2
 46.86s ~  46.96s (0.10s)  D2
 46.99s ~  47.19s (0.20s)  F2
 47.20s ~  47.29s (0.09s)  G2
 47.38s ~  47.47s (0.09s)  G2
 47.58s ~  47.64s (0.06s)  C3
 47.65s ~  47.71s (0.06s)  C3
 47.96s ~  48.04s (0.08s)  A#2
 48.62s ~  48.70s (0.08s)  F3
 48.79s ~  48.87s (0.08s)  F3
 48.94s ~  49.00s (0.06s)  F3
 49.28s ~  49.40s (0.12s)  A#2
 49.93s ~  50.38s (0.45s)  G1
 50.50s ~  50.58s (0.08s)  G1
 50.80s ~  50.88s (0.08s)  D2
 50.92s ~  51.08s (0.16s)  F2
 51.11s ~  51.20s (0.09s)  G2
 51.30s ~  51.42s (0.12s)  E3
 51.77s ~  51.88s (0.11s)  E3
 52.09s ~  52.18s (0.09s)  D2
 52.21s ~  52.36s (0.15s)  F2
 52.40s ~  52.49s (0.09s)  G2
 52.54s ~  53.05s (0.51s)  D#3
 53.08s ~  53.21s (0.13s)  D#3
 53.42s ~  53.52s (0.10s)  D2
 53.55s ~  53.71s (0.16s)  F2
 53.76s ~  53.86s (0.10s)  G2
 54.05s ~  54.18s (0.13s)  F2
 54.18s ~  54.35s (0.17s)  E2
 54.48s ~  54.65s (0.17s)  A#2
 54.69s ~  54.84s (0.15s)  A#2
 54.84s ~  55.00s (0.16s)  A2
 55.18s ~  55.62s (0.44s)  G1
 55.68s ~  55.83s (0.15s)  G1
 55.85s ~  55.92s (0.07s)  E1
 56.01s ~  56.10s (0.09s)  D2
 56.12s ~  56.29s (0.17s)  F2
 56.32s ~  56.39s (0.07s)  G2
 56.46s ~  56.68s (0.22s)  A#1
 56.69s ~  56.81s (0.12s)  C2
 57.02s ~  57.14s (0.12s)  C2
 57.31s ~  57.38s (0.07s)  D2
 57.44s ~  57.60s (0.16s)  F2
 57.64s ~  57.71s (0.07s)  G2
 57.73s ~  57.95s (0.22s)  A#2
 57.96s ~  58.10s (0.14s)  C3
 58.27s ~  58.42s (0.15s)  C3
 58.61s ~  58.71s (0.10s)  G2
 58.73s ~  58.90s (0.17s)  A#2
 59.05s ~  59.17s (0.12s)  A2
 59.25s ~  59.37s (0.12s)  A#2
 59.37s ~  59.58s (0.21s)  A2
 59.69s ~  59.83s (0.14s)  D2
 59.91s ~  59.98s (0.07s)  F2
 60.00s ~  60.36s (0.36s)  G2
 60.40s ~  61.41s (1.01s)  G2
 61.70s ~  62.38s (0.68s)  C3
 62.39s ~  64.55s (2.16s)  A#2
 64.96s ~  65.48s (0.52s)  A2
